species	length	width
inopinata	0.379	0.019
inopinata	0.523	0.028
inopinata	0.475	0.03
inopinata	0.432	0.027
inopinata	0.481	0.044
inopinata	0.419	0.034
inopinata	0.471	0.035
inopinata	0.379	0.029
inopinata	0.407	0.033
inopinata	0.419	0.038
inopinata	0.38	0.026
inopinata	0.441	0.032
inopinata	0.416	0.034
inopinata	0.493	0.038
inopinata	0.402	0.029
inopinata	0.473	0.027
inopinata	0.437	0.033
inopinata	0.344	0.03
inopinata	0.468	0.027
inopinata	0.436	0.033
inopinata	0.408	0.024
inopinata	0.489	0.025
inopinata	0.433	0.021
inopinata	0.424	0.028
inopinata	0.436	0.025
inopinata	0.447	0.024
inopinata	0.505	0.027
inopinata	0.404	0.026
inopinata	0.423	0.024
inopinata	0.45	0.026
inopinata	0.441	0.026
inopinata	0.393	0.022
inopinata	0.42	0.026
inopinata	0.429	0.028
inopinata	0.437	0.023
inopinata	0.411	0.021
inopinata	0.462	0.021
inopinata	0.435	0.022
inopinata	0.372	0.026
inopinata	0.432	0.024
inopinata	0.383	0.025
inopinata	0.497	0.034
inopinata	0.426	0.024
inopinata	0.337	0.027
inopinata	0.396	0.03
inopinata	0.482	0.026
inopinata	0.483	0.029
inopinata	0.393	0.028
inopinata	0.373	0.021
inopinata	0.373	0.025
inopinata	0.445	0.026
inopinata	0.351	0.028
inopinata	0.473	0.027
inopinata	0.467	0.026
inopinata	0.389	0.029
inopinata	0.326	0.026
inopinata	0.359	0.025
inopinata	0.361	0.027
inopinata	0.391	0.026
inopinata	0.432	0.024
inopinata	0.397	0.026
inopinata	0.344	0.025
inopinata	0.434	0.022
inopinata	0.391	0.023
inopinata	0.37	0.025
inopinata	0.355	0.024
inopinata	0.476	0.027
inopinata	0.403	0.024
inopinata	0.452	0.031
inopinata	0.5	0.031
inopinata	0.403	0.025
inopinata	0.454	0.027
inopinata	0.399	0.023
inopinata	0.425	0.026
inopinata	0.41	0.023
inopinata	0.416	0.027
inopinata	0.485	0.028
inopinata	0.509	0.03
inopinata	0.42	0.027
inopinata	0.444	0.027
inopinata	0.489	0.028
inopinata	0.418	0.026
inopinata	0.457	0.028
inopinata	0.452	0.022
inopinata	0.457	0.026
inopinata	0.349	0.019
inopinata	0.524	0.026
inopinata	0.431	0.021
inopinata	0.48	0.021
inopinata	0.466	0.03
inopinata	0.447	0.03
inopinata	0.448	0.027
inopinata	0.452	0.028
inopinata	0.502	0.023
inopinata	0.443	0.034
inopinata	0.428	0.03
inopinata	0.467	0.029
elegans	0.572	0.012
elegans	0.475	0.023
elegans	0.386	0.018
elegans	0.485	0.023
elegans	0.527	0.021
elegans	0.478	0.023
elegans	0.551	0.024
elegans	0.392	0.017
elegans	0.454	0.017
elegans	0.522	0.021
elegans	0.491	0.022
elegans	0.487	0.014
elegans	0.409	0.015
elegans	0.496	0.017
elegans	0.442	0.016
elegans	0.461	0.016
elegans	0.513	0.017
elegans	0.439	0.019
elegans	0.549	0.02
elegans	0.429	0.015
elegans	0.398	0.013
elegans	0.482	0.023
elegans	0.491	0.015
elegans	0.576	0.019
elegans	0.379	0.009
elegans	0.481	0.016
elegans	0.433	0.015
elegans	0.394	0.014
elegans	0.493	0.016
elegans	0.421	0.018
elegans	0.369	0.016
elegans	0.384	0.016
elegans	0.413	0.021
elegans	0.49	0.023
elegans	0.426	0.015
elegans	0.662	0.022
elegans	0.385	0.01
elegans	0.503	0.012
elegans	0.391	0.016
elegans	0.394	0.017
elegans	0.41	0.022
elegans	0.465	0.018
elegans	0.527	0.02
elegans	0.385	0.02
elegans	0.413	0.023
elegans	0.457	0.016
elegans	0.431	0.014
elegans	0.434	0.015
elegans	0.471	0.016
elegans	0.411	0.017
elegans	0.422	0.016
elegans	0.499	0.014
elegans	0.519	0.017
elegans	0.426	0.015
elegans	0.473	0.016
elegans	0.52	0.019
elegans	0.394	0.01
elegans	0.496	0.021
elegans	0.578	0.021
elegans	0.51	0.017
elegans	0.439	0.018
elegans	0.386	0.014
elegans	0.557	0.021
elegans	0.421	0.016
elegans	0.438	0.02
elegans	0.391	0.012
elegans	0.333	0.017
elegans	0.492	0.014
elegans	0.498	0.024
elegans	0.355	0.017
elegans	0.488	0.022
elegans	0.661	0.028
elegans	0.354	0.018
elegans	0.353	0.016
elegans	0.432	0.016
elegans	0.592	0.021
elegans	0.498	0.016
elegans	0.405	0.019
elegans	0.417	0.023
elegans	0.415	0.015
elegans	0.445	0.019
elegans	0.54	0.017
elegans	0.399	0.017
elegans	0.377	0.017
elegans	0.374	0.015
elegans	0.394	0.013
elegans	0.386	0.017
elegans	0.391	0.023
elegans	0.444	0.017
elegans	0.444	0.017
elegans	0.373	0.013
elegans	0.441	0.02
elegans	0.431	0.018
elegans	0.491	0.019
elegans	0.556	0.026
elegans	0.396	0.023
elegans	0.462	0.015
elegans	0.406	0.018
elegans	0.509	0.014
elegans	0.46	0.015
elegans	0.471	0.018
elegans	0.441	0.018
elegans	0.516	0.021
elegans	0.396	0.021
elegans	0.566	0.021
elegans	0.444	0.017
elegans	0.532	0.024
elegans	0.448	0.019
elegans	0.493	0.019
elegans	0.379	0.021
elegans	0.565	0.02
elegans	0.391	0.023
elegans	0.461	0.016
briggsae	0.444	0.024
briggsae	0.38	0.017
briggsae	0.461	0.015
briggsae	0.461	0.013
briggsae	0.441	0.017
briggsae	0.416	0.018
briggsae	0.409	0.016
briggsae	0.459	0.017
briggsae	0.422	0.017
briggsae	0.46	0.019
briggsae	0.345	0.016
briggsae	0.52	0.017
briggsae	0.472	0.017
briggsae	0.484	0.016
briggsae	0.415	0.013
briggsae	0.437	0.012
briggsae	0.408	0.012
briggsae	0.512	0.015
briggsae	0.448	0.018
briggsae	0.425	0.015
briggsae	0.481	0.02
briggsae	0.399	0.014
briggsae	0.319	0.017
briggsae	0.423	0.017
briggsae	0.529	0.014
briggsae	0.42	0.015
briggsae	0.416	0.013
briggsae	0.448	0.012
briggsae	0.398	0.012
briggsae	0.495	0.02
briggsae	0.493	0.023
briggsae	0.457	0.018
briggsae	0.48	0.019
briggsae	0.415	0.018
briggsae	0.433	0.019
briggsae	0.445	0.024
briggsae	0.437	0.022
briggsae	0.428	0.015
briggsae	0.405	0.017
briggsae	0.471	0.024
briggsae	0.419	0.017
briggsae	0.439	0.019
briggsae	0.505	0.018
briggsae	0.448	0.018
briggsae	0.4	0.016
briggsae	0.488	0.021
briggsae	0.454	0.019
briggsae	0.434	0.019
briggsae	0.555	0.017
briggsae	0.495	0.018
briggsae	0.429	0.018
briggsae	0.474	0.021
briggsae	0.464	0.017
briggsae	0.484	0.021
briggsae	0.396	0.016
briggsae	0.392	0.015
briggsae	0.48	0.018
briggsae	0.456	0.02
briggsae	0.474	0.016
briggsae	0.468	0.02
briggsae	0.496	0.026
briggsae	0.443	0.018
briggsae	0.427	0.017
briggsae	0.492	0.023
briggsae	0.463	0.018
briggsae	0.466	0.019
briggsae	0.452	0.02
briggsae	0.462	0.019
briggsae	0.488	0.018
briggsae	0.531	0.023
briggsae	0.346	0.016
briggsae	0.418	0.013
briggsae	0.452	0.012
briggsae	0.535	0.02
briggsae	0.574	0.017
briggsae	0.463	0.014
briggsae	0.362	0.013
briggsae	0.428	0.015
briggsae	0.481	0.014
briggsae	0.441	0.013
briggsae	0.449	0.016
briggsae	0.485	0.02
briggsae	0.469	0.017
briggsae	0.432	0.012
briggsae	0.476	0.023
tropicalis	0.533	0.018
tropicalis	0.493	0.019
tropicalis	0.524	0.014
tropicalis	0.533	0.021
tropicalis	0.533	0.018
tropicalis	0.493	0.019
tropicalis	0.524	0.014
tropicalis	0.533	0.021
tropicalis	0.34	0.013
tropicalis	0.489	0.018
tropicalis	0.473	0.018
tropicalis	0.538	0.021
tropicalis	0.502	0.022
tropicalis	0.538	0.016
tropicalis	0.422	0.02
tropicalis	0.425	0.017
tropicalis	0.476	0.02
tropicalis	0.461	0.018
tropicalis	0.551	0.023
tropicalis	0.503	0.019
tropicalis	0.441	0.014
tropicalis	0.443	0.018
tropicalis	0.55	0.023
tropicalis	0.473	0.012
tropicalis	0.583	0.014
tropicalis	0.451	0.013
tropicalis	0.458	0.02
tropicalis	0.54	0.031
tropicalis	0.491	0.018
tropicalis	0.583	0.027
tropicalis	0.481	0.016
tropicalis	0.495	0.014
tropicalis	0.534	0.017
tropicalis	0.461	0.018
tropicalis	0.502	0.017
tropicalis	0.498	0.013
tropicalis	0.445	0.018
tropicalis	0.531	0.023
tropicalis	0.457	0.015
tropicalis	0.53	0.021
tropicalis	0.589	0.023
tropicalis	0.449	0.018
tropicalis	0.604	0.021
tropicalis	0.541	0.021
tropicalis	0.483	0.019
tropicalis	0.424	0.016
tropicalis	0.52	0.016
tropicalis	0.496	0.016
tropicalis	0.476	0.019
tropicalis	0.55	0.019
tropicalis	0.554	0.018
tropicalis	0.507	0.022
tropicalis	0.562	0.019
tropicalis	0.522	0.023
tropicalis	0.472	0.022
tropicalis	0.427	0.013
tropicalis	0.432	0.017
tropicalis	0.494	0.018
tropicalis	0.452	0.018
tropicalis	0.417	0.019
tropicalis	0.504	0.018
tropicalis	0.457	0.015
tropicalis	0.455	0.02
tropicalis	0.467	0.018
tropicalis	0.594	0.019
tropicalis	0.468	0.016
tropicalis	0.453	0.018
tropicalis	0.482	0.016
tropicalis	0.501	0.022
tropicalis	0.413	0.015
tropicalis	0.456	0.021
tropicalis	0.505	0.021
tropicalis	0.464	0.016
tropicalis	0.489	0.018
tropicalis	0.54	0.023
tropicalis	0.459	0.017
tropicalis	0.56	0.015
tropicalis	0.557	0.023
tropicalis	0.552	0.026
tropicalis	0.501	0.018
tropicalis	0.478	0.017
tropicalis	0.5	0.02
tropicalis	0.531	0.02
tropicalis	0.571	0.023
tropicalis	0.547	0.023
tropicalis	0.485	0.016
tropicalis	0.566	0.027
tropicalis	0.474	0.018
tropicalis	0.473	0.02
tropicalis	0.54	0.02
tropicalis	0.571	0.022
tropicalis	0.465	0.017
tropicalis	0.521	0.017
