length	width	species	stage	observer
379	19	inopinata	dauer	eric_h
523	28	inopinata	dauer	eric_h
475	30	inopinata	dauer	eric_h
432	27	inopinata	dauer	eric_h
481	44	inopinata	dauer	eric_h
419	34	inopinata	dauer	eric_h
471	35	inopinata	dauer	eric_h
379	29	inopinata	dauer	eric_h
407	33	inopinata	dauer	eric_h
419	38	inopinata	dauer	eric_h
380	26	inopinata	dauer	eric_h
441	32	inopinata	dauer	eric_h
416	34	inopinata	dauer	eric_h
493	38	inopinata	dauer	eric_h
402	29	inopinata	dauer	eric_h
473	27	inopinata	dauer	eric_h
437	33	inopinata	dauer	eric_h
344	30	inopinata	dauer	eric_h
468	27	inopinata	dauer	eric_h
436	33	inopinata	dauer	eric_h
408	24	inopinata	dauer	eric_h
489	25	inopinata	dauer	eric_h
433	21	inopinata	dauer	eric_h
424	28	inopinata	dauer	eric_h
436	25	inopinata	dauer	eric_h
447	24	inopinata	dauer	eric_h
505	27	inopinata	dauer	eric_h
404	26	inopinata	dauer	eric_h
423	24	inopinata	dauer	eric_h
450	26	inopinata	dauer	eric_h
441	26	inopinata	dauer	eric_h
393	22	inopinata	dauer	eric_h
420	26	inopinata	dauer	eric_h
429	28	inopinata	dauer	eric_h
437	23	inopinata	dauer	eric_h
411	21	inopinata	dauer	eric_h
462	21	inopinata	dauer	eric_h
435	22	inopinata	dauer	eric_h
372	26	inopinata	dauer	eric_h
432	24	inopinata	dauer	eric_h
383	25	inopinata	dauer	eric_h
497	34	inopinata	dauer	eric_h
426	24	inopinata	dauer	eric_h
337	27	inopinata	dauer	eric_h
396	30	inopinata	dauer	eric_h
482	26	inopinata	dauer	eric_h
483	29	inopinata	dauer	eric_h
393	28	inopinata	dauer	eric_h
373	21	inopinata	dauer	eric_h
373	25	inopinata	dauer	eric_h
445	26	inopinata	dauer	eric_h
351	28	inopinata	dauer	eric_h
473	27	inopinata	dauer	eric_h
467	26	inopinata	dauer	eric_h
389	29	inopinata	dauer	eric_h
326	26	inopinata	dauer	eric_h
359	25	inopinata	dauer	eric_h
361	27	inopinata	dauer	eric_h
391	26	inopinata	dauer	eric_h
432	24	inopinata	dauer	eric_h
397	26	inopinata	dauer	eric_h
344	25	inopinata	dauer	eric_h
434	22	inopinata	dauer	eric_h
391	23	inopinata	dauer	eric_h
370	25	inopinata	dauer	eric_h
355	24	inopinata	dauer	eric_h
476	27	inopinata	dauer	eric_h
403	24	inopinata	dauer	eric_h
452	31	inopinata	dauer	eric_h
500	31	inopinata	dauer	eric_h
403	25	inopinata	dauer	eric_h
454	27	inopinata	dauer	eric_h
399	23	inopinata	dauer	eric_h
425	26	inopinata	dauer	eric_h
410	23	inopinata	dauer	eric_h
416	27	inopinata	dauer	eric_h
485	28	inopinata	dauer	eric_h
