species	common_name	taxon_id	paper
elegans	isopod	Porcellio scaber	Cutter 2006
elegans	isopod	Porcellio spinicornis	Cutter 2006
elegans	slug	Deroceras	Félix and Duveau 2012
elegans	snail	Helix	Félix and Duveau 2012
elegans	snail	Oxychilus	Félix and Duveau 2012
elegans snail	Pomatias	Barrière and Félix 2005
elegans	slug	Arion	Petersen et al. 2015
elegans	isopod	Porcellio scaber	Petersen et al. 2015
elegans	isopod	Oniscus asellus	Petersen et al. 2015
elegans	isopod	Armadillidium vulgare	Petersen et al. 2015
elegans	centipede		Petersen et al. 2015
elegans millipede Glomeris	Barrière and Félix 2005
