Species	Strain	Island	Control.Alive 	Control.Dead	SDS.Alive 	SDS.Dead
Elegans	CB4856		54	19	38	122
Elegans	ED3041		90	21	29	56
Briggsae	ED3092		287	9	45	91
Briggsae	HK105		21	306	10	700
Elegans	JU1088		423	17	158	414
Briggsae	JU1349		93	68	46	172
Elegans	JU775		214	16	75	79
Tropicalis 	NIC123		100	13	16	608
sp_34	NKZ2	Ishigaki	372	62	6	938
sp_34	NKZ2	Ishigaki	316	137	9	986
sp_34	NKZ2	Ishigaki	176	44	3	394
sp_34	NKZ2	Ishigaki	619	151	7	362
sp_34	NKZ2	Ishigaki	787	176	4	438
sp_34	NKZ2	Ishigaki	355	76	1	193
sp_34	NKZ2	Ishigaki	436	100	5	505
sp_34	NKZ2	Ishigaki	547	133	10	565
sp_34	NKZ22	Iriomote	476	1	0	591
sp_34	NKZ22	Iriomote	376	4	0	994
sp_34	NKZ22	Iriomote	639	15	0	210
sp_34	NKZ22	Iriomote	930	16	0	792
sp_34	NKZ22	Iriomote	1160	0	0	776
sp_34	NKZ27	Iriomote	260	30	1	538
sp_34	NKZ27	Iriomote	514	60	4	474
sp_34	NKZ43	Ishigaki	30	3	0	63
sp_34	NKZ43	Ishigaki	105	3	0	61
sp_34	NKZ43	Ishigaki	25	7	0	50
sp_34	NKZ43	Ishigaki	137	5	1	62
sp_34	NKZ44	Ishigaki	299	80	0	644
sp_34	NKZ44	Ishigaki	192	35	0	903
sp_34	NKZ44	Ishigaki	414	46	0	549
sp_34	NKZ44	Ishigaki	420	19	0	696
sp_34	NKZ44	Ishigaki	363	20	0	318
sp_34	NKZ45	Ishigaki	214	10	0	42
sp_34	NKZ45	Ishigaki	273	42	0	447
sp_34	NKZ45	Ishigaki	170	46	0	416
sp_34	NKZ45	Ishigaki	376	24	0	633
sp_34	NKZ45	Ishigaki	153	61	0	600
sp_34	NKZ45	Ishigaki	74	8	0	644
sp_34	NKZ45	Ishigaki	206	31	0	320
sp_34	NKZ45	Ishigaki	197	11	0	744
sp_34	NKZ45	Ishigaki	214	14	0	384
sp_34	NKZ45	Ishigaki	101	60	0	850
sp_34	NKZ46	Ishigaki	260	33	1	491
sp_34	NKZ46	Ishigaki	289	13	0	832
sp_34	NKZ46	Ishigaki	387	48	0	908
sp_34	NKZ46	Ishigaki	294	20	0	660
sp_34	NKZ46	Ishigaki	385	137	0	622
sp_34	NKZ46	Ishigaki	315	30	0	1164
