species	strain	stage	date_image_taken	folder	magnification	file	length_include_tail_arbitrary	length_head_to_end_of_gut_arbitrary	width_exclude_sheath_arbitrary	tail_length_arbitrary	length_include_tail_micron	length_head_to_end_of_gut_micron	width_exclude_sheath_micron	tail_length_micron
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_01.jpg	579.201	489.515	29.069	27.357	467.708367540191	395.286371288096	23.4733961716672	22.0909456489146
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_02.jpg	509.272	443.929	33.838	25	411.240270223857	358.475396095223	27.3243929841713	20.1876536616904
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_03.jpg	572.27	470.096	32.062	22.472	480.98444365774	379.605409429841	25.8902620680448	18.1462781234203
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_04.jpg	488.065	443.657	30.083	29.833	394.115487375718	358.255754423384	24.2922074041854	24.0903308675684
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_05.jpg	578.496	526.319	32.65	20.248	467.139075706931	425.00582750269	26.3650756821677	16.3503844536763
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_06.jpg	544.178	454.838	30.594	30.685	457.373534486836	367.284480647038	24.7048430450303	24.7783261043589
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_07.jpg	559.518	489.211	29	20.238	451.814224059269	395.04088941957	23.4176782475609	16.3423093922117
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_08.jpg	484.44	417.456	32.016	29.155	391.188277594773	337.098285879786	25.8531167853073	23.5428417002634
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_09.jpg	570.281	523.968	35.014	23.087	479.312718670522	423.107380552345	28.2740202124172	18.6428944034979
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_10.jpg	623.393	533.675	29.12	31.794	503.393679164888	430.945842716106	23.514578985137	25.6738504207914
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_11.jpg	609.122	537.847	32.985	28.459	491.869758948648	434.314758359169	26.6355902412344	22.9808174223219
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_12.jpg	609.675	519.293	30.15	33.16	512.42279114235	419.332289317609	24.3463103159987	26.7769038168662
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_13.jpg	399.555	347.878	29.411	30.868	322.643118351869	280.913623220862	23.7495632737591	24.9260997291624
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_14.jpg	616.788	537.303	32.016	23.533	498.060101067469	433.875475015491	25.8531167853073	19.0030421448225
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_15.jpg	583.533	502.8	33.422	19.958	490.450828037346	406.014090443918	26.9884704272407	16.1162076712007
