length	width	species	stage	species.stage
379	19	C. inopinata	Dauer	C. inopinata Dauer
523	28	C. inopinata	Dauer	C. inopinata Dauer
475	30	C. inopinata	Dauer	C. inopinata Dauer
432	27	C. inopinata	Dauer	C. inopinata Dauer
481	44	C. inopinata	Dauer	C. inopinata Dauer
419	34	C. inopinata	Dauer	C. inopinata Dauer
471	35	C. inopinata	Dauer	C. inopinata Dauer
379	29	C. inopinata	Dauer	C. inopinata Dauer
407	33	C. inopinata	Dauer	C. inopinata Dauer
419	38	C. inopinata	Dauer	C. inopinata Dauer
380	26	C. inopinata	Dauer	C. inopinata Dauer
441	32	C. inopinata	Dauer	C. inopinata Dauer
416	34	C. inopinata	Dauer	C. inopinata Dauer
493	38	C. inopinata	Dauer	C. inopinata Dauer
402	29	C. inopinata	Dauer	C. inopinata Dauer
473	27	C. inopinata	Dauer	C. inopinata Dauer
437	33	C. inopinata	Dauer	C. inopinata Dauer
344	30	C. inopinata	Dauer	C. inopinata Dauer
468	27	C. inopinata	Dauer	C. inopinata Dauer
436	33	C. inopinata	Dauer	C. inopinata Dauer
408	24	C. inopinata	Dauer	C. inopinata Dauer
489	25	C. inopinata	Dauer	C. inopinata Dauer
433	21	C. inopinata	Dauer	C. inopinata Dauer
424	28	C. inopinata	Dauer	C. inopinata Dauer
436	25	C. inopinata	Dauer	C. inopinata Dauer
447	24	C. inopinata	Dauer	C. inopinata Dauer
505	27	C. inopinata	Dauer	C. inopinata Dauer
404	26	C. inopinata	Dauer	C. inopinata Dauer
423	24	C. inopinata	Dauer	C. inopinata Dauer
450	26	C. inopinata	Dauer	C. inopinata Dauer
441	26	C. inopinata	Dauer	C. inopinata Dauer
393	22	C. inopinata	Dauer	C. inopinata Dauer
420	26	C. inopinata	Dauer	C. inopinata Dauer
429	28	C. inopinata	Dauer	C. inopinata Dauer
437	23	C. inopinata	Dauer	C. inopinata Dauer
411	21	C. inopinata	Dauer	C. inopinata Dauer
462	21	C. inopinata	Dauer	C. inopinata Dauer
435	22	C. inopinata	Dauer	C. inopinata Dauer
372	26	C. inopinata	Dauer	C. inopinata Dauer
432	24	C. inopinata	Dauer	C. inopinata Dauer
383	25	C. inopinata	Dauer	C. inopinata Dauer
497	34	C. inopinata	Dauer	C. inopinata Dauer
426	24	C. inopinata	Dauer	C. inopinata Dauer
337	27	C. inopinata	Dauer	C. inopinata Dauer
396	30	C. inopinata	Dauer	C. inopinata Dauer
482	26	C. inopinata	Dauer	C. inopinata Dauer
483	29	C. inopinata	Dauer	C. inopinata Dauer
393	28	C. inopinata	Dauer	C. inopinata Dauer
373	21	C. inopinata	Dauer	C. inopinata Dauer
373	25	C. inopinata	Dauer	C. inopinata Dauer
445	26	C. inopinata	Dauer	C. inopinata Dauer
351	28	C. inopinata	Dauer	C. inopinata Dauer
473	27	C. inopinata	Dauer	C. inopinata Dauer
467	26	C. inopinata	Dauer	C. inopinata Dauer
389	29	C. inopinata	Dauer	C. inopinata Dauer
326	26	C. inopinata	Dauer	C. inopinata Dauer
359	25	C. inopinata	Dauer	C. inopinata Dauer
361	27	C. inopinata	Dauer	C. inopinata Dauer
391	26	C. inopinata	Dauer	C. inopinata Dauer
432	24	C. inopinata	Dauer	C. inopinata Dauer
397	26	C. inopinata	Dauer	C. inopinata Dauer
344	25	C. inopinata	Dauer	C. inopinata Dauer
434	22	C. inopinata	Dauer	C. inopinata Dauer
391	23	C. inopinata	Dauer	C. inopinata Dauer
370	25	C. inopinata	Dauer	C. inopinata Dauer
355	24	C. inopinata	Dauer	C. inopinata Dauer
476	27	C. inopinata	Dauer	C. inopinata Dauer
403	24	C. inopinata	Dauer	C. inopinata Dauer
452	31	C. inopinata	Dauer	C. inopinata Dauer
500	31	C. inopinata	Dauer	C. inopinata Dauer
403	25	C. inopinata	Dauer	C. inopinata Dauer
454	27	C. inopinata	Dauer	C. inopinata Dauer
399	23	C. inopinata	Dauer	C. inopinata Dauer
425	26	C. inopinata	Dauer	C. inopinata Dauer
410	23	C. inopinata	Dauer	C. inopinata Dauer
416	27	C. inopinata	Dauer	C. inopinata Dauer
485	28	C. inopinata	Dauer	C. inopinata Dauer
509	30	C. inopinata	Dauer	C. inopinata Dauer
420	27	C. inopinata	Dauer	C. inopinata Dauer
444	27	C. inopinata	Dauer	C. inopinata Dauer
489	28	C. inopinata	Dauer	C. inopinata Dauer
418	26	C. inopinata	Dauer	C. inopinata Dauer
457	28	C. inopinata	Dauer	C. inopinata Dauer
452	22	C. inopinata	Dauer	C. inopinata Dauer
