C. elegans Dauer ESH 2017	C. elegans Dauer GCW 2019	C. elegans Dauer KM 2022	C. elegans L3 GCW Evol. Lett. 2018	C. elegans L3 KM 2022	C. inopinata Dauer ESH 2017	C. inopinata Dauer GCW 2019	C. inopinata Dauer KM 2022	C. inopinata L3 GCW Evol. Lett. 2018	C. inopinata L3 KM 2022
C. elegans Dauer ESH 2017	0	22	-2	14	2	-6	3	-18	51	17
C. elegans Dauer GCW 2019	-18	0	-20	-7	-17	-23	-16	-33	23	-4
C. elegans Dauer KM 2022	2	25	0	16	4	-4	5	-17	54	20
C. elegans L3 GCW Evol. Lett. 2018	-12	8	-14	0	-10	-17	-9	-28	33	3
C. elegans L3 KM 2022	-2	20	-4	11	0	-8	1	-20	48	15
C. inopinata Dauer ESH 2017	6	30	4	21	8	0	9	-13	60	24
C. inopinata Dauer GCW 2019	-3	19	-5	10	-1	-9	0	-21	47	14
C. inopinata Dauer KM 2022	22	50	20	39	25	15	26	0	85	43
C. inopinata L3 GCW Evol. Lett. 2018	-34	-19	-35	-25	-32	-38	-32	-46	0	-22
C. inopinata L3 KM 2022	-15	4	-16	-3	-13	-20	-12	-30	29	0
