C. elegans Dauer ESH 2017	C. elegans Dauer GCW 2019	C. elegans Dauer KM 2022	C. elegans L3 GCW Evol. Lett. 2018	C. elegans L3 KM 2022	C. inopinata Dauer ESH 2017	C. inopinata Dauer GCW 2019	C. inopinata Dauer KM 2022	C. inopinata L3 GCW Evol. Lett. 2018	C. inopinata L3 KM 2022
C. elegans Dauer ESH 2017	0	19	23	73	46	51	38	30	89	63
C. elegans Dauer GCW 2019	-16	0	4	46	23	27	17	9	59	38
C. elegans Dauer KM 2022	-19	-4	0	41	18	22	12	5	53	33
C. elegans L3 GCW Evol. Lett. 2018	-42	-32	-29	0	-16	-13	-20	-25	9	-6
C. elegans L3 KM 2022	-31	-19	-16	19	0	3	-5	-11	29	12
C. inopinata Dauer ESH 2017	-34	-21	-18	15	-3	0	-8	-14	25	8
C. inopinata Dauer GCW 2019	-28	-14	-11	26	6	9	0	-6	37	18
C. inopinata Dauer KM 2022	-23	-9	-5	34	13	16	6	0	45	26
C. inopinata L3 GCW Evol. Lett. 2018	-47	-37	-35	-8	-23	-20	-27	-31	0	-13
C. inopinata L3 KM 2022	-39	-27	-25	6	-11	-8	-15	-21	15	0
