grp1	grp2	chisq_stat	chisq_p	fisher_p	chisq_p_adjust	fisher_p_adjust
C. inopinata Dauer	C. elegans Dauer	154.102673974926	3.43293795861573e-33	0.000499750124937531	1.85690735034215e-32	0.00052166899006637
C. inopinata Dauer	C. inopinata L2	17.6971153846154	0.000507862496300639	0.00249875062468766	0.000525527278780661	0.00251992647743925
C. inopinata Dauer	C. inopinata L3	132.634105784351	1.06413068692156e-27	0.000499750124937531	4.22105172478884e-27	0.00052166899006637
C. inopinata Dauer	C. inopinata Gravid adult	208	7.15423466262261e-44	0.000499750124937531	8.51353924852091e-43	0.00052166899006637
C. inopinata Dauer	C. inopinata Young adult	192	1.45971606982156e-39	0.000499750124937531	1.15804141539177e-38	0.00052166899006637
C. inopinata Dauer	C. inopinata L1	114.147727272727	1.40464167325089e-24	0.000499750124937531	3.86252321774501e-24	0.00052166899006637
C. inopinata Dauer	C. elegans L1	154.825174825175	2.39761633019263e-33	0.000499750124937531	1.35864925377582e-32	0.00052166899006637
C. inopinata Dauer	C. elegans L2	13.9112160566706	0.00302852785911901	0.000999500249875062	0.0030802975661125	0.00102534939426838
C. inopinata Dauer	C. elegans L3	47.0084863767968	1.51872162144827e-09	0.000499750124937531	1.94331046185317e-09	0.00052166899006637
C. inopinata Dauer	C. elegans L4	217	6.52449998289074e-45	0.000499750124937531	9.70519372454997e-44	0.00052166899006637
C. inopinata Dauer	C. elegans Young adult	206	1.0017173547938e-41	0.000499750124937531	8.51459751574728e-41	0.00052166899006637
C. inopinata Dauer	C. elegans Gravid adult	216	1.06834904900389e-44	0.000499750124937531	1.41259485368292e-43	0.00052166899006637
C. inopinata Dauer	C. inopinata L4	209	3.36886584853571e-43	0.000499750124937531	3.64450032705226e-42	0.00052166899006637
C. inopinata Dauer	C. briggsae Dauer	157.901823689307	5.19891868040634e-34	0.000499750124937531	3.09335661484177e-33	0.00052166899006637
C. inopinata Dauer	C. tropicalis Dauer	194.229426983722	7.4461600136604e-42	0.000499750124937531	6.81610032019683e-41	0.00052166899006637
C. elegans Dauer	C. inopinata L2	13.7114817730015	0.00332537837162745	0.00149925037481259	0.00335355954426836	0.00152487858634785
C. elegans Dauer	C. inopinata L3	223.808531600594	2.8399141554083e-47	0.000499750124937531	4.82785406419411e-46	0.00052166899006637
C. elegans Dauer	C. inopinata Gravid adult	246	4.73369651395232e-52	0.000499750124937531	1.87769961720109e-50	0.00052166899006637
C. elegans Dauer	C. inopinata Young adult	230	1.06954099113563e-47	0.000499750124937531	2.12125629908567e-46	0.00052166899006637
C. elegans Dauer	C. inopinata L1	56.8598130841122	2.75319665291753e-12	0.000499750124937531	4.04481977403934e-12	0.00052166899006637
C. elegans Dauer	C. elegans L1	94.3947223749313	2.49109479447021e-20	0.000499750124937531	5.2935764382492e-20	0.00052166899006637
C. elegans Dauer	C. elegans L2	78.8529121617494	5.40832932019907e-17	0.000499750124937531	1.0215733160376e-16	0.00052166899006637
C. elegans Dauer	C. elegans L3	135.600304773407	2.46806928006888e-28	0.000499750124937531	1.12961632433922e-27	0.00052166899006637
C. elegans Dauer	C. elegans L4	255	4.6470985946546e-53	0.000499750124937531	4.53217252101618e-51	0.00052166899006637
C. elegans Dauer	C. elegans Young adult	244	7.8502256446667e-50	0.000499750124937531	1.86835370343067e-48	0.00052166899006637
C. elegans Dauer	C. elegans Gravid adult	254	7.61709667397678e-53	0.000499750124937531	4.53217252101618e-51	0.00052166899006637
C. elegans Dauer	C. inopinata L4	247	2.41969034418882e-51	0.000499750124937531	7.19857877396173e-50	0.00052166899006637
C. elegans Dauer	C. briggsae Dauer	16.8776131823179	0.000748905296696427	0.000499750124937531	0.000768273537128231	0.00052166899006637
C. elegans Dauer	C. tropicalis Dauer	36.4723501159194	5.94982459784776e-08	0.000499750124937531	7.2992693519988e-08	0.00052166899006637
C. inopinata L2	C. inopinata L3	65.0678584443617	2.48988052058997e-13	0.000499750124937531	3.7986638711565e-13	0.00052166899006637
C. inopinata L2	C. inopinata Gravid adult	54	5.26268068630944e-11	0.000499750124937531	7.19837932954969e-11	0.00052166899006637
C. inopinata L2	C. inopinata Young adult	38	3.77323913873248e-07	0.000499750124937531	4.35937337387539e-07	0.00052166899006637
C. inopinata L2	C. inopinata L1	21.2121212121212	9.51193391922103e-05	0.000499750124937531	0.000101064297891723	0.00052166899006637
C. inopinata L2	C. elegans L1	35.9767891682785	7.57347188464194e-08	0.000499750124937531	9.19635871706521e-08	0.00052166899006637
C. inopinata L2	C. elegans L2	19.5982350982351	0.000205596271062388	0.000499750124937531	0.000216512887224992	0.00052166899006637
C. inopinata L2	C. elegans L3	34.7060460497448	5.33808476029523e-07	0.000499750124937531	6.10800083149166e-07	0.00052166899006637
C. inopinata L2	C. elegans L4	63	2.91115491988963e-12	0.000499750124937531	4.22472482276666e-12	0.00052166899006637
C. inopinata L2	C. elegans Young adult	52	1.86481749524311e-09	0.000499750124937531	2.36077959504181e-09	0.00052166899006637
C. inopinata L2	C. elegans Gravid adult	62	4.68939988256006e-12	0.000499750124937531	6.48882076772845e-12	0.00052166899006637
C. inopinata L2	C. inopinata L4	55	1.30536234619946e-10	0.000499750124937531	1.72597910219706e-10	0.00052166899006637
C. inopinata L2	C. briggsae Dauer	33.7592950211326	2.2270765957067e-07	0.000499750124937531	2.59882695417891e-07	0.00052166899006637
C. inopinata L2	C. tropicalis Dauer	60.74183485711	4.08078082747263e-13	0.000499750124937531	6.1469989679651e-13	0.00052166899006637
C. inopinata L3	C. inopinata Gravid adult	170	1.04584539735743e-35	0.000499750124937531	6.55029485713337e-35	0.00052166899006637
C. inopinata L3	C. inopinata Young adult	154	1.8786992135846e-31	0.000499750124937531	9.31521693402362e-31	0.00052166899006637
C. inopinata L3	C. inopinata L1	158	3.92487578451939e-33	0.000499750124937531	2.03069660155569e-32	0.00052166899006637
C. inopinata L3	C. elegans L1	178	2.00462720561615e-37	0.000499750124937531	1.4032390439313e-36	0.00052166899006637
C. inopinata L3	C. elegans L2	105.720343531938	5.94821727132236e-22	0.000499750124937531	1.38791736330855e-21	0.00052166899006637
C. inopinata L3	C. elegans L3	21.9304299165215	6.74418451366897e-05	0.000499750124937531	7.23025186600547e-05	0.00052166899006637
C. inopinata L3	C. elegans L4	98.3748764311519	2.18153423096533e-20	0.000499750124937531	4.72004679063408e-20	0.00052166899006637
C. inopinata L3	C. elegans Young adult	119.877237851662	3.33222930515354e-24	0.000499750124937531	8.81189527362825e-24	0.00052166899006637
C. inopinata L3	C. elegans Gravid adult	178	1.43066748730217e-36	0.000499750124937531	9.45830172160879e-36	0.00052166899006637
C. inopinata L3	C. inopinata L4	128.97197269134	6.46011639864896e-27	0.000499750124937531	2.403369391393e-26	0.00052166899006637
C. inopinata L3	C. briggsae Dauer	187.779775722998	1.58986309615834e-39	0.000499750124937531	1.18246067776777e-38	0.00052166899006637
C. inopinata L3	C. tropicalis Dauer	199.218977038432	5.53079717097494e-42	0.000499750124937531	5.48470719455015e-41	0.00052166899006637
C. inopinata Gravid adult	C. inopinata Young adult	13.0662020905923	0.000300672174700709	0.000155373410111702	0.000313859550784073	0.00052166899006637
C. inopinata Gravid adult	C. inopinata L1	47.8608203125	4.57574782250058e-12	7.93684632998984e-15	6.40604695150081e-12	3.14828237756264e-13
C. inopinata Gravid adult	C. elegans L1	68.006953125	1.62920016096252e-16	3.50607283935823e-21	2.93749725991728e-16	4.17222667883629e-19
C. inopinata Gravid adult	C. elegans L2	72	2.31952283024357e-16	0.000499750124937531	4.05916495292625e-16	0.00052166899006637
C. inopinata Gravid adult	C. elegans L3	118	1.42815984521663e-24	0.000499750124937531	3.86252321774501e-24	0.00052166899006637
C. inopinata Gravid adult	C. elegans L4	73	1.40686171244615e-16	0.000499750124937531	2.57563913509371e-16	0.00052166899006637
C. inopinata Gravid adult	C. elegans Young adult	62	2.19709895105575e-13	0.000499750124937531	3.39551656072253e-13	0.00052166899006637
C. inopinata Gravid adult	C. elegans Gravid adult	72	2.31952283024357e-16	0.000499750124937531	4.05916495292625e-16	0.00052166899006637
C. inopinata Gravid adult	C. inopinata L4	65	7.6812046852021e-15	0.000499750124937531	1.28741317963246e-14	0.00052166899006637
C. inopinata Gravid adult	C. briggsae Dauer	117	3.41563348579529e-25	0.000499750124937531	1.04220611489651e-24	0.00052166899006637
C. inopinata Gravid adult	C. tropicalis Dauer	125	6.46284206088874e-27	0.000499750124937531	2.403369391393e-26	0.00052166899006637
C. inopinata Young adult	C. inopinata L1	36	1.52299797447126e-08	0.000499750124937531	1.887882905855e-08	0.00052166899006637
C. inopinata Young adult	C. elegans L1	56	6.9144001069402e-13	0.000499750124937531	1.02851701590736e-12	0.00052166899006637
C. inopinata Young adult	C. elegans L2	56	4.20093577799347e-12	0.000499750124937531	5.95132568549075e-12	0.00052166899006637
C. inopinata Young adult	C. elegans L3	102	2.00175116467144e-20	0.000499750124937531	4.41126645547965e-20	0.00052166899006637
C. inopinata Young adult	C. elegans L4	40.9988273921201	1.25088605085133e-09	0.000499750124937531	1.61799391360117e-09	0.00052166899006637
C. inopinata Young adult	C. elegans Young adult	23.4496794871795	3.25412577373896e-05	0.000499750124937531	3.55266942270584e-05	0.00052166899006637
C. inopinata Young adult	C. elegans Gravid adult	31.304	1.59375943667543e-07	0.000499750124937531	1.89657372964376e-07	0.00052166899006637
C. inopinata Young adult	C. inopinata L4	24.3563049853372	5.14156786623523e-06	0.000499750124937531	5.66524607483326e-06	0.00052166899006637
C. inopinata Young adult	C. briggsae Dauer	101	6.02470647618691e-21	0.000499750124937531	1.35271711446461e-20	0.00052166899006637
