species.stage	N	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	sd
C. inopinata Dauer	176	286	380	424	423	466	533	55
C. elegans Dauer	214	333	419	474	478	534	665	71
C. briggsae Dauer	85	319	423	452	451	480	574	45
C. tropicalis Dauer	93	340	464	496	499	534	604	48
C. elegans L1	40	201	229	248	248	264	314	25
C. elegans L2	40	322	358	377	384	401	484	39
C. elegans L3	86	347	452	486	487	526	642	58
C. elegans L4	41	632	714	749	748	774	870	47
C. elegans Young adult	30	686	812	826	832	874	1022	69
C. elegans Gravid adult	40	842	921	962	982	1052	1143	78
C. inopinata L1	20	266	311	323	320	336	345	19
C. inopinata L2	22	328	378	446	438	479	552	67
C. inopinata L3	138	359	499	549	579	663	860	113
C. inopinata L4	33	759	890	960	947	994	1064	72
C. inopinata Young adult	16	1127	1276	1372	1363	1456	1582	127
C. inopinata Gravid adult	32	1319	1510	1596	1608	1702	1821	120
