.y.	group1	group2	effsize	n1	n2	conf.low	conf.high	magnitude
length	C. inopinata Dauer	C. elegans Dauer	-0.471276372548737	97	113	-0.74	-0.23	small
length	C. inopinata Dauer	C. briggsae Dauer	-0.470752847110888	97	85	-0.78	-0.18	small
length	C. inopinata Dauer	C. tropicalis Dauer	-1.49092186262055	97	93	-1.86	-1.18	large
length	C. inopinata Dauer	C. elegans L1	5.01796833734366	97	40	4.44	5.8	large
length	C. inopinata Dauer	C. elegans L2	1.07128999676717	97	40	0.66	1.59	large
length	C. inopinata Dauer	C. elegans L3	-1.91790209223778	97	36	-2.51	-1.47	large
length	C. inopinata Dauer	C. elegans L4	-6.94308641114781	97	41	-8.17	-6.11	large
length	C. inopinata Dauer	C. elegans Young adult	-6.93830221008673	97	30	-8.76	-5.8	large
length	C. inopinata Dauer	C. elegans Gravid adult	-8.65089828381574	97	40	-9.84	-7.83	large
length	C. inopinata Dauer	C. inopinata L1	3.17578293679919	97	20	2.74	3.73	large
length	C. inopinata Dauer	C. inopinata L2	-0.147291752128445	97	22	-0.66	0.43	negligible
length	C. inopinata Dauer	C. inopinata L3	-3.24719639770054	97	40	-4.02	-2.76	large
length	C. inopinata Dauer	C. inopinata L4	-8.62999492114791	97	33	-10.95	-7.2	large
length	C. inopinata Dauer	C. inopinata Young adult	-9.84023520779856	97	16	-14.15	-8	large
length	C. inopinata Dauer	C. inopinata Gravid adult	-12.9922689866713	97	32	-16.01	-10.91	large
length	C. elegans Dauer	C. briggsae Dauer	0.0949822826144075	113	85	-0.19	0.35	negligible
length	C. elegans Dauer	C. tropicalis Dauer	-0.750864228032929	113	93	-1.08	-0.46	moderate
length	C. elegans Dauer	C. elegans L1	4.21731742098645	113	40	3.74	4.8	large
length	C. elegans Dauer	C. elegans L2	1.32825453354194	113	40	1	1.72	large
length	C. elegans Dauer	C. elegans L3	-1.08867426177646	113	36	-1.51	-0.71	large
length	C. elegans Dauer	C. elegans L4	-5.14353665815371	113	41	-6.11	-4.49	large
length	C. elegans Dauer	C. elegans Young adult	-5.61476918437793	113	30	-6.96	-4.81	large
length	C. elegans Dauer	C. elegans Gravid adult	-7.29359969381164	113	40	-8.33	-6.61	large
length	C. elegans Dauer	C. inopinata L1	2.82311532018029	113	20	2.52	3.23	large
length	C. elegans Dauer	C. inopinata L2	0.272421616146361	113	22	-0.24	0.76	small
length	C. elegans Dauer	C. inopinata L3	-2.68945700135456	113	40	-3.31	-2.27	large
length	C. elegans Dauer	C. inopinata L4	-7.15172224706236	113	33	-8.69	-6.11	large
length	C. elegans Dauer	C. inopinata Young adult	-9.01694543624769	113	16	-12.14	-7.47	large
length	C. elegans Dauer	C. inopinata Gravid adult	-11.9151188167766	113	32	-14.71	-10.27	large
length	C. briggsae Dauer	C. tropicalis Dauer	-1.04038897925177	85	93	-1.39	-0.73	large
length	C. briggsae Dauer	C. elegans L1	5.6128964370471	85	40	4.8	6.69	large
length	C. briggsae Dauer	C. elegans L2	1.57328559700785	85	40	1.12	2.21	large
length	C. briggsae Dauer	C. elegans L3	-1.46323377019903	85	36	-2.01	-1.04	large
length	C. briggsae Dauer	C. elegans L4	-6.49388178165158	85	41	-7.81	-5.7	large
length	C. briggsae Dauer	C. elegans Young adult	-6.58146884069757	85	30	-8.52	-5.47	large
length	C. briggsae Dauer	C. elegans Gravid adult	-8.32733006729458	85	40	-9.72	-7.44	large
length	C. briggsae Dauer	C. inopinata L1	3.7985646807319	85	20	3.23	4.64	large
length	C. briggsae Dauer	C. inopinata L2	0.223066701105567	85	22	-0.31	0.79	small
length	C. briggsae Dauer	C. inopinata L3	-2.98482958561857	85	40	-3.68	-2.52	large
