.y.	group1	group2	effsize	n1	n2	conf.low	conf.high	magnitude
width	C. inopinata Dauer	C. elegans Dauer	2.34348265048606	97	113	2.03	2.71	large
width	C. inopinata Dauer	C. briggsae Dauer	2.57392904988641	97	85	2.23	3.03	large
width	C. inopinata Dauer	C. tropicalis Dauer	2.15870599662139	97	93	1.82	2.56	large
width	C. inopinata Dauer	C. elegans L1	3.48220504575378	97	40	3.01	4.16	large
width	C. inopinata Dauer	C. elegans L2	1.13308970324197	97	40	0.84	1.49	large
width	C. inopinata Dauer	C. elegans L3	-1.13803682286961	97	36	-1.58	-0.75	large
width	C. inopinata Dauer	C. elegans L4	-3.93485733453153	97	41	-4.73	-3.34	large
width	C. inopinata Dauer	C. elegans Young adult	-4.44501608918918	97	30	-5.63	-3.71	large
width	C. inopinata Dauer	C. elegans Gravid adult	-5.9674909557809	97	40	-7.19	-5.2	large
width	C. inopinata Dauer	C. inopinata L1	3.20701350707052	97	20	2.76	3.85	large
width	C. inopinata Dauer	C. inopinata L2	0.983375666384466	97	22	0.48	1.71	large
width	C. inopinata Dauer	C. inopinata L3	-1.44566822204495	97	40	-1.98	-1.04	large
width	C. inopinata Dauer	C. inopinata L4	-4.06823135277509	97	33	-5.12	-3.29	large
width	C. inopinata Dauer	C. inopinata Young adult	-4.50623737791535	97	16	-6.2	-3.47	large
width	C. inopinata Dauer	C. inopinata Gravid adult	-8.05962949065353	97	32	-10.04	-6.86	large
width	C. elegans Dauer	C. briggsae Dauer	0.150900751747039	113	85	-0.13	0.43	negligible
width	C. elegans Dauer	C. tropicalis Dauer	-0.247422394031369	113	93	-0.51	0.01	small
width	C. elegans Dauer	C. elegans L1	0.802136235908034	113	40	0.52	1.12	large
width	C. elegans Dauer	C. elegans L2	-1.84094218493988	113	40	-2.27	-1.48	large
width	C. elegans Dauer	C. elegans L3	-4.13749715528685	113	36	-4.81	-3.69	large
width	C. elegans Dauer	C. elegans L4	-6.41694583709289	113	41	-7.46	-5.73	large
width	C. elegans Dauer	C. elegans Young adult	-6.46351055826702	113	30	-8.47	-5.44	large
width	C. elegans Dauer	C. elegans Gravid adult	-7.63495282924846	113	40	-9.21	-6.77	large
width	C. elegans Dauer	C. inopinata L1	0.411431148496331	113	20	0.06	0.79	small
width	C. elegans Dauer	C. inopinata L2	-1.15441010807543	113	22	-1.63	-0.8	large
width	C. elegans Dauer	C. inopinata L3	-3.60479986370196	113	40	-4.31	-3.08	large
width	C. elegans Dauer	C. inopinata L4	-6.52844000856193	113	33	-8.06	-5.54	large
width	C. elegans Dauer	C. inopinata Young adult	-6.19475995933538	113	16	-8.64	-4.87	large
width	C. elegans Dauer	C. inopinata Gravid adult	-10.2742040907121	113	32	-12.78	-8.52	large
width	C. briggsae Dauer	C. tropicalis Dauer	-0.414428301202637	85	93	-0.71	-0.12	small
width	C. briggsae Dauer	C. elegans L1	0.6727159163023	85	40	0.35	1.02	moderate
width	C. briggsae Dauer	C. elegans L2	-2.16862094300381	85	40	-2.73	-1.74	large
width	C. briggsae Dauer	C. elegans L3	-4.56330131817708	85	36	-5.46	-4.01	large
width	C. briggsae Dauer	C. elegans L4	-6.76921814359752	85	41	-7.92	-5.96	large
width	C. briggsae Dauer	C. elegans Young adult	-6.71605463716261	85	30	-8.73	-5.6	large
width	C. briggsae Dauer	C. elegans Gravid adult	-7.83493589998913	85	40	-9.36	-6.81	large
width	C. briggsae Dauer	C. inopinata L1	0.24631565694169	85	20	-0.14	0.63	small
width	C. briggsae Dauer	C. inopinata L2	-1.32329049995313	85	22	-1.83	-0.94	large
width	C. briggsae Dauer	C. inopinata L3	-3.83499639790989	85	40	-4.69	-3.32	large
width	C. briggsae Dauer	C. inopinata L4	-6.87760626748217	85	33	-8.72	-5.8	large
width	C. briggsae Dauer	C. inopinata Young adult	-6.38387975507886	85	16	-8.98	-5.02	large
width	C. briggsae Dauer	C. inopinata Gravid adult	-10.6193059625518	85	32	-13.69	-8.77	large
width	C. tropicalis Dauer	C. elegans L1	1.13853078791311	93	40	0.84	1.49	large
width	C. tropicalis Dauer	C. elegans L2	-1.59346106549419	93	40	-2.14	-1.18	large
width	C. tropicalis Dauer	C. elegans L3	-3.96701409841098	93	36	-4.78	-3.42	large
width	C. tropicalis Dauer	C. elegans L4	-6.30232667649778	93	41	-7.46	-5.55	large
width	C. tropicalis Dauer	C. elegans Young adult	-6.35629483770242	93	30	-8.16	-5.26	large
width	C. tropicalis Dauer	C. elegans Gravid adult	-7.54574926202742	93	40	-9.05	-6.59	large
width	C. tropicalis Dauer	C. inopinata L1	0.746992661208198	93	20	0.39	1.13	moderate
width	C. tropicalis Dauer	C. inopinata L2	-0.960443462698483	93	22	-1.44	-0.57	large
width	C. tropicalis Dauer	C. inopinata L3	-3.45485789100997	93	40	-4.1	-2.88	large
width	C. tropicalis Dauer	C. inopinata L4	-6.41569569176892	93	33	-8.08	-5.33	large
width	C. tropicalis Dauer	C. inopinata Young adult	-6.09382434428964	93	16	-8.71	-4.79	large
width	C. tropicalis Dauer	C. inopinata Gravid adult	-10.2050355264238	93	32	-13.21	-8.46	large
width	C. elegans L1	C. elegans L2	-3.7968640464809	40	40	-4.86	-3.11	large
width	C. elegans L1	C. elegans L3	-6.45681767630697	40	36	-8.31	-5.4	large
width	C. elegans L1	C. elegans L4	-8.07879638286669	40	41	-9.9	-7.04	large
width	C. elegans L1	C. elegans Young adult	-7.59899268325811	40	30	-10.05	-6.17	large
width	C. elegans L1	C. elegans Gravid adult	-8.50651860049636	40	40	-10.33	-7.39	large
width	C. elegans L1	C. inopinata L1	-0.640024877250506	40	20	-1.27	-0.13	moderate
width	C. elegans L1	C. inopinata L2	-1.98547960847253	40	22	-2.75	-1.55	large
width	C. elegans L1	C. inopinata L3	-4.68811331630462	40	40	-5.92	-3.94	large
width	C. elegans L1	C. inopinata L4	-8.1689493279301	40	33	-10.98	-6.69	large
width	C. elegans L1	C. inopinata Young adult	-7.02777021840852	40	16	-10.62	-5.36	large
width	C. elegans L1	C. inopinata Gravid adult	-11.807638073581	40	32	-15.85	-9.43	large
width	C. elegans L2	C. elegans L3	-3.18313552921257	40	36	-4.02	-2.67	large
width	C. elegans L2	C. elegans L4	-5.87410287045486	40	41	-7.28	-5.12	large
width	C. elegans L2	C. elegans Young adult	-5.89866297990711	40	30	-7.82	-4.78	large
width	C. elegans L2	C. elegans Gravid adult	-7.16453728207792	40	40	-8.61	-6.25	large
width	C. elegans L2	C. inopinata L1	3.44717949333317	40	20	2.82	4.54	large
width	C. elegans L2	C. inopinata L2	0.164151067574256	40	22	-0.39	0.94	negligible
width	C. elegans L2	C. inopinata L3	-2.69181224503866	40	40	-3.41	-2.14	large
width	C. elegans L2	C. inopinata L4	-5.99747445326931	40	33	-7.81	-4.82	large
width	C. elegans L2	C. inopinata Young adult	-5.63188809770262	40	16	-8.53	-4.29	large
width	C. elegans L2	C. inopinata Gravid adult	-10.0620062898228	40	32	-13.41	-8.17	large
width	C. elegans L3	C. elegans L4	-3.49570454696098	36	41	-4.49	-2.9	large
width	C. elegans L3	C. elegans Young adult	-4.0575749887948	36	30	-5.53	-3.23	large
width	C. elegans L3	C. elegans Gravid adult	-5.6915771072548	36	40	-7.05	-4.85	large
width	C. elegans L3	C. inopinata L1	6.25863112305419	36	20	5.26	8.33	large
