.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
width	C. inopinata Dauer	C. elegans Dauer	97	113	10530.5	1.02e-30	1.22e-28	****
width	C. inopinata Dauer	C. briggsae Dauer	97	85	8036	2.12e-28	1.27e-26	****
width	C. inopinata Dauer	C. tropicalis Dauer	97	93	8539.5	1.7e-26	6.8e-25	****
width	C. inopinata Dauer	C. elegans L1	97	40	3874	4.51e-20	6.01e-19	****
width	C. inopinata Dauer	C. elegans L2	97	40	3113	2.47e-08	3.26e-08	****
width	C. inopinata Dauer	C. elegans L3	97	36	612.5	8.52e-09	1.18e-08	****
width	C. inopinata Dauer	C. elegans L4	97	41	27.5	5.65e-20	6.48e-19	****
width	C. inopinata Dauer	C. elegans Young adult	97	30	6	1.72e-16	7.28e-16	****
width	C. inopinata Dauer	C. elegans Gravid adult	97	40	0	3.64e-20	5.46e-19	****
width	C. inopinata Dauer	C. inopinata L1	97	20	1936	2.37e-12	4.99e-12	****
width	C. inopinata Dauer	C. inopinata L2	97	22	1660.5	4.63e-05	5.39e-05	****
width	C. inopinata Dauer	C. inopinata L3	97	40	564	6.67e-11	1.23e-10	****
width	C. inopinata Dauer	C. inopinata L4	97	33	24	2.94e-17	1.53e-16	****
width	C. inopinata Dauer	C. inopinata Young adult	97	16	1	1.57e-10	2.73e-10	****
width	C. inopinata Dauer	C. inopinata Gravid adult	97	32	0	2.28e-17	1.24e-16	****
width	C. elegans Dauer	C. briggsae Dauer	113	85	5148.5	0.384	0.387	ns
width	C. elegans Dauer	C. tropicalis Dauer	113	93	4513	0.08	0.084	ns
width	C. elegans Dauer	C. elegans L1	113	40	3207.5	7.54e-05	8.7e-05	****
width	C. elegans Dauer	C. elegans L2	113	40	461	6.77e-14	1.93e-13	****
width	C. elegans Dauer	C. elegans L3	113	36	4.5	1.88e-19	1.73e-18	****
width	C. elegans Dauer	C. elegans L4	113	41	0	2.38e-21	7.14e-20	****
width	C. elegans Dauer	C. elegans Young adult	113	30	0	3.68e-17	1.7e-16	****
width	C. elegans Dauer	C. elegans Gravid adult	113	40	0	5.4e-21	1.3e-19	****
width	C. elegans Dauer	C. inopinata L1	113	20	1335.5	0.194	0.199	ns
