pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
C. inopinata Dauer vs C. elegans Dauer	1	0.0732072841679433	19.0284439689539	0.0838152419859604	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. inopinata L2	1	0.00376092836002605	1.13554093649474	0.00961218721726732	0.31	0.312605042016807	
C. inopinata Dauer vs C. inopinata L3	1	1.36489719735837	377.083447013146	0.73637109188469	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. inopinata Gravid adult	1	7.80655240391618	3210.59166111902	0.961948610586647	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. inopinata Young adult	1	3.56369825633241	1323.85161642741	0.922640084361911	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. inopinata L1	1	0.35897358011417	145.761018358944	0.558983161195897	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. elegans L1	1	1.9854072876063	746.306608156954	0.846818350446367	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. elegans L2	1	0.0877152864983085	33.3318120830064	0.198012554314868	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. elegans L3	1	0.219919867025574	85.451227931794	0.394782828207011	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. elegans L4	1	2.07630492949283	922.890149067282	0.871563636587048	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. elegans Young adult	1	2.29176924215962	908.298044649703	0.879028126834038	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. elegans Gravid adult	1	4.31583898064199	1774.9861289075	0.929318858416412	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. inopinata L4	1	3.33609829717118	1357.15244011015	0.913813561124738	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. briggsae Dauer	1	0.0598319415855798	22.3710653585132	0.110544782273501	0.001	0.00104347826086957	*
C. inopinata Dauer vs C. tropicalis Dauer	1	0.279594449310146	106.560103219364	0.361760136741963	0.001	0.00104347826086957	*
C. elegans Dauer vs C. inopinata L2	1	0.00918123446016565	1.85950182493069	0.0137884375944427	0.159	0.161694915254237	
C. elegans Dauer vs C. inopinata L3	1	1.21589995023062	242.273178793159	0.616042974343242	0.001	0.00104347826086957	*
C. elegans Dauer vs C. inopinata Gravid adult	1	7.7327626340544	1913.19498843503	0.930454066465342	0.001	0.00104347826086957	*
C. elegans Dauer vs C. inopinata Young adult	1	3.44404478190217	770.085702613305	0.858430471436524	0.001	0.00104347826086957	*
C. elegans Dauer vs C. inopinata L1	1	0.458866440514584	108.819875222015	0.453756700195405	0.001	0.00104347826086957	*
C. elegans Dauer vs C. elegans L1	1	2.32265517368969	558.188664761532	0.787080635234385	0.001	0.00104347826086957	*
C. elegans Dauer vs C. elegans L2	1	0.196284355708133	47.4647601269485	0.239159637693803	0.001	0.00104347826086957	*
C. elegans Dauer vs C. elegans L3	1	0.160187909795973	38.8367409921201	0.208983114882363	0.001	0.00104347826086957	*
C. elegans Dauer vs C. elegans L4	1	1.91690036634846	506.597508058165	0.769206536404666	0.001	0.00104347826086957	*
C. elegans Dauer vs C. elegans Young adult	1	2.14158811489545	516.556348885141	0.78556970784472	0.001	0.00104347826086957	*
C. elegans Dauer vs C. elegans Gravid adult	1	4.16058721478207	1051.59024054151	0.874437697139462	0.001	0.00104347826086957	*
C. elegans Dauer vs C. inopinata L4	1	3.17848451811518	783.974452857128	0.844823314309311	0.001	0.00104347826086957	*
C. elegans Dauer vs C. briggsae Dauer	1	0.00205851548183735	0.537534402470693	0.00273502160340491	0.486	0.486	
C. elegans Dauer vs C. tropicalis Dauer	1	0.111449062385825	29.8189203808279	0.127529972049571	0.001	0.00104347826086957	*
C. inopinata L2 vs C. inopinata L3	1	0.667327392439069	116.022463035338	0.659134414066491	0.001	0.00104347826086957	*
C. inopinata L2 vs C. inopinata Gravid adult	1	4.18067168956498	1315.51327834107	0.961974775072692	0.001	0.00104347826086957	*
C. inopinata L2 vs C. inopinata Young adult	1	2.37295571469408	550.225316753879	0.938590164956806	0.001	0.00104347826086957	*
C. inopinata L2 vs C. inopinata L1	1	0.229862689832293	65.8296926220255	0.622034241912982	0.001	0.00104347826086957	*
C. inopinata L2 vs C. elegans L1	1	0.995540277120835	277.05678498124	0.821988452173305	0.001	0.00104347826086957	*
C. inopinata L2 vs C. elegans L2	1	0.0492444914590142	13.9557165150678	0.188703688811188	0.001	0.00104347826086957	*
C. inopinata L2 vs C. elegans L3	1	0.110772583514917	32.0416650748529	0.36393751807864	0.001	0.00104347826086957	*
C. inopinata L2 vs C. elegans L4	1	1.01315020225547	380.496102642132	0.861833434916083	0.001	0.00104347826086957	*
C. inopinata L2 vs C. elegans Young adult	1	1.24836615680729	363.218707107117	0.878998701801178	0.001	0.00104347826086957	*
C. inopinata L2 vs C. elegans Gravid adult	1	2.13050357384242	692.082004284382	0.920221465667044	0.001	0.00104347826086957	*
C. inopinata L2 vs C. inopinata L4	1	1.7605952286102	545.366127627166	0.91142546753077	0.001	0.00104347826086957	*
C. inopinata L2 vs C. briggsae Dauer	1	0.00863487060800914	2.68347324475591	0.024920010136157	0.119	0.122051282051282	
C. inopinata L2 vs C. tropicalis Dauer	1	0.0754267071117069	24.3706843230217	0.177408188967852	0.001	0.00104347826086957	*
C. inopinata L3 vs C. inopinata Gravid adult	1	2.79660456117713	734.851165520469	0.913027398109396	0.001	0.00104347826086957	*
C. inopinata L3 vs C. inopinata Young adult	1	1.195585251002	251.800781237975	0.823414447205166	0.001	0.00104347826086957	*
C. inopinata L3 vs C. inopinata L1	1	1.68437606189484	405.682398395846	0.874914380617732	0.001	0.00104347826086957	*
C. inopinata L3 vs C. elegans L1	1	4.17334094666535	1027.72599479004	0.929458111351709	0.001	0.00104347826086957	*
C. inopinata L3 vs C. elegans L2	1	1.47622734482954	368.042468942613	0.825128759185405	0.001	0.00104347826086957	*
C. inopinata L3 vs C. elegans L3	1	0.327968430135544	82.3419635587632	0.526678581261478	0.001	0.00104347826086957	*
C. inopinata L3 vs C. elegans L4	1	0.0533795383194018	15.9996266819903	0.1684177847935	0.001	0.00104347826086957	*
C. inopinata L3 vs C. elegans Young adult	1	0.178489890380473	44.4606284656088	0.395343944562831	0.001	0.00104347826086957	*
C. inopinata L3 vs C. elegans Gravid adult	1	0.679573564901124	185.437929072435	0.70391507299409	0.001	0.00104347826086957	*
C. inopinata L3 vs C. inopinata L4	1	0.458273829408066	119.516917690358	0.627329683574903	0.001	0.00104347826086957	*
C. inopinata L3 vs C. briggsae Dauer	1	1.16973799575226	327.731570998738	0.727110307078214	0.001	0.00104347826086957	*
C. inopinata L3 vs C. tropicalis Dauer	1	0.710005801138355	206.289549982064	0.611609668882518	0.001	0.00104347826086957	*
C. inopinata Gravid adult vs C. inopinata Young adult	1	0.0741370025814406	44.5489143355894	0.491987282922948	0.001	0.00104347826086957	*
C. inopinata Gravid adult vs C. inopinata L1	1	5.41321653462946	4439.54789384601	0.988863021136597	0.001	0.00104347826086957	*
C. inopinata Gravid adult vs C. elegans L1	1	9.36682925807777	4789.78133743712	0.985596059752574	0.001	0.00104347826086957	*
C. inopinata Gravid adult vs C. elegans L2	1	6.54274162182696	3443.2316401456	0.980075324609937	0.001	0.00104347826086957	*
C. inopinata Gravid adult vs C. elegans L3	1	4.31587053256586	2479.20511806948	0.974068887599102	0.001	0.00104347826086957	*
C. inopinata Gravid adult vs C. elegans L4	1	2.28353930534696	1936.5910819842	0.964634232221321	0.001	0.00104347826086957	*
C. inopinata Gravid adult vs C. elegans Young adult	1	1.47829295966673	952.278807470543	0.940727792030017	0.001	0.00104347826086957	*
C. inopinata Gravid adult vs C. elegans Gravid adult	1	0.955606125132596	631.069112343221	0.900152497424918	0.001	0.00104347826086957	*
C. inopinata Gravid adult vs C. inopinata L4	1	1.05693084615093	720.684369151103	0.919610493101652	0.001	0.00104347826086957	*
C. inopinata Gravid adult vs C. briggsae Dauer	1	7.32442120111137	3250.10633871481	0.965825745630398	0.001	0.00104347826086957	*
