Strain	Latitude	Longitude
NKZ22	24.40553	123.81093
NKZ27	24.3428	123.92092
NKZ44	24.37565	124.15575
NKZ45	24.37565	124.15575
NKZ46	24.37565	124.15575
NKZ47	24.41118	124.17208
NKZ49	24.43942	124.11073
NKZ50	24.43942	124.11073
NKZ51	24.44483	124.17285
NKZ52	24.44483	124.17285
NKZ54	24.44483	124.17285
NKZ55	24.47292	124.24811
NKZ56	24.37444	123.75347
NKZ57	24.4233	123.79555
NKZ59	24.3953	123.75711
NKZ60	24.4233	123.79555
NKZ63	24.30617	123.89929
NKZ64	24.27325	123.83263
NKZ66	24.27325	123.83263
NKZ67	24.27325	123.83263
NKZ68	24.27325	123.83263
NKZ69	24.27325	123.83263
NKZ70	24.27325	123.83263
NKZ72	24.27325	123.83263
NKZ73	24.27325	123.83263
NKZ75	24.3953	123.75711
NKZ88	24.27325	123.83263
PX723	25.028625	121.572208
PX724	25.0311822	121.5743952
