comparison	subsample.index
C. elegans Dauer vs C. inopinata Dauer	1.1
C. inopinata Dauer vs C. inopinata L2	1.2
C. elegans Dauer vs C. inopinata Dauer	2.3
C. inopinata Dauer vs C. inopinata L2	2.4
C. briggsae Dauer vs C. inopinata Dauer	3.5
C. elegans Dauer vs C. inopinata Dauer	3.6
C. inopinata Dauer vs C. inopinata L2	3.7
C. inopinata Dauer vs C. inopinata L2	4
C. inopinata Dauer vs C. inopinata L2	5
C. briggsae Dauer vs C. inopinata Dauer	6.10
C. elegans Dauer vs C. inopinata Dauer	6.11
C. inopinata Dauer vs C. inopinata L2	6.12
C. briggsae Dauer vs C. inopinata Dauer	7.13
C. elegans Dauer vs C. inopinata Dauer	7.14
C. inopinata Dauer vs C. inopinata L2	7.15
C. inopinata Dauer vs C. inopinata L2	8
C. elegans Dauer vs C. inopinata Dauer	9.17
C. inopinata Dauer vs C. inopinata L2	9.18
C. briggsae Dauer vs C. inopinata Dauer	10.19
C. elegans Dauer vs C. inopinata Dauer	10.20
C. inopinata Dauer vs C. inopinata L2	10.21
C. briggsae Dauer vs C. inopinata Dauer	11.22
C. elegans Dauer vs C. inopinata Dauer	11.23
C. inopinata Dauer vs C. inopinata L2	11.24
C. elegans Dauer vs C. inopinata Dauer	12.25
C. inopinata Dauer vs C. inopinata L2	12.26
C. inopinata Dauer vs C. inopinata L2	13
C. briggsae Dauer vs C. inopinata Dauer	14.28
C. inopinata Dauer vs C. inopinata L2	14.29
C. elegans Dauer vs C. inopinata Dauer	15.30
C. inopinata Dauer vs C. inopinata L2	15.31
C. inopinata Dauer vs C. inopinata L2	16
C. elegans Dauer vs C. inopinata Dauer	17.33
C. inopinata Dauer vs C. inopinata L2	17.34
C. inopinata Dauer vs C. inopinata L2	18
C. briggsae Dauer vs C. inopinata Dauer	19.36
C. inopinata Dauer vs C. inopinata L2	19.37
C. elegans Dauer vs C. inopinata Dauer	20.38
C. inopinata Dauer vs C. inopinata L2	20.39
C. briggsae Dauer vs C. inopinata Dauer	21.40
C. elegans Dauer vs C. inopinata Dauer	21.41
C. inopinata Dauer vs C. inopinata L2	21.42
C. inopinata Dauer vs C. inopinata L2	22
C. briggsae Dauer vs C. inopinata Dauer	23.44
C. inopinata Dauer vs C. inopinata L2	23.45
C. briggsae Dauer vs C. inopinata Dauer	24.46
C. elegans Dauer vs C. inopinata Dauer	24.47
C. elegans L2 vs C. inopinata Dauer	24.48
C. inopinata Dauer vs C. inopinata L2	24.49
C. briggsae Dauer vs C. inopinata Dauer	25.50
C. inopinata Dauer vs C. inopinata L2	25.51
C. briggsae Dauer vs C. inopinata Dauer	26.52
C. inopinata Dauer vs C. inopinata L2	26.53
C. briggsae Dauer vs C. inopinata Dauer	27.54
C. elegans Dauer vs C. inopinata Dauer	27.55
C. inopinata Dauer vs C. inopinata L2	27.56
C. briggsae Dauer vs C. inopinata Dauer	28.57
C. inopinata Dauer vs C. inopinata L2	28.58
C. inopinata Dauer vs C. inopinata L2	29
C. elegans Dauer vs C. inopinata Dauer	30.60
C. inopinata Dauer vs C. inopinata L2	30.61
C. elegans Dauer vs C. inopinata Dauer	31.62
C. inopinata Dauer vs C. inopinata L2	31.63
C. elegans Dauer vs C. inopinata Dauer	32.64
C. inopinata Dauer vs C. inopinata L2	32.65
C. elegans Dauer vs C. inopinata Dauer	33.66
C. inopinata Dauer vs C. inopinata L2	33.67
C. briggsae Dauer vs C. inopinata Dauer	34.68
C. inopinata Dauer vs C. inopinata L2	34.69
C. inopinata Dauer vs C. inopinata L2	35
C. inopinata Dauer vs C. inopinata L2	36
C. elegans Dauer vs C. inopinata Dauer	37.72
C. inopinata Dauer vs C. inopinata L2	37.73
C. elegans Dauer vs C. inopinata Dauer	38.74
C. inopinata Dauer vs C. inopinata L2	38.75
C. inopinata Dauer vs C. inopinata L2	39
C. elegans L2 vs C. inopinata Dauer	40.77
C. inopinata Dauer vs C. inopinata L2	40.78
C. elegans Dauer vs C. inopinata Dauer	41.79
C. inopinata Dauer vs C. inopinata L2	41.80
C. briggsae Dauer vs C. inopinata Dauer	42.81
C. inopinata Dauer vs C. inopinata L2	42.82
C. elegans Dauer vs C. inopinata Dauer	43.83
C. inopinata Dauer vs C. inopinata L2	43.84
C. elegans Dauer vs C. inopinata Dauer	44.85
C. inopinata Dauer vs C. inopinata L2	44.86
C. elegans Dauer vs C. inopinata Dauer	45.87
C. inopinata Dauer vs C. inopinata L2	45.88
C. elegans L2 vs C. inopinata Dauer	46.89
C. inopinata Dauer vs C. inopinata L2	46.90
C. briggsae Dauer vs C. inopinata Dauer	47.91
C. elegans Dauer vs C. inopinata Dauer	47.92
C. inopinata Dauer vs C. inopinata L2	47.93
C. inopinata Dauer vs C. inopinata L2	48
C. briggsae Dauer vs C. inopinata Dauer	49.95
C. elegans Dauer vs C. inopinata Dauer	49.96
C. inopinata Dauer vs C. inopinata L2	49.97
C. briggsae Dauer vs C. inopinata Dauer	50.98
C. inopinata Dauer vs C. inopinata L2	50.99
C. elegans Dauer vs C. inopinata Dauer	51.100
C. inopinata Dauer vs C. inopinata L2	51.101
C. briggsae Dauer vs C. inopinata Dauer	52.102
C. elegans Dauer vs C. inopinata Dauer	52.103
C. inopinata Dauer vs C. inopinata L2	52.104
C. briggsae Dauer vs C. inopinata Dauer	53.105
C. inopinata Dauer vs C. inopinata L2	53.106
C. briggsae Dauer vs C. inopinata Dauer	54.107
