column_label	grp1	grp2	chisq_stat	chisq_p	fisher_p	chisq_p_adjust	fisher_p_adjust
1	C. inopinata Dauer	C. elegans Dauer	18.24	0.000109454677335737	2.41718817914591e-05	0.000138745365636849	3.06404135384692e-05
1	C. inopinata Dauer	C. inopinata L2	4.8	0.0907179532894125	0.0692105956215843	0.098368865012616	0.0750476338065372
1	C. inopinata Dauer	C. inopinata L3	15.8730158730159	0.000357452548357165	0.0001682010580787	0.000440694922632121	0.000207371167494288
1	C. inopinata Dauer	C. inopinata Adult	40	1.06550903342559e-08	1.45088891038495e-11	2.58460042416897e-08	2.96772731669654e-11
1	C. inopinata Dauer	C. inopinata L1	40	2.06115362243856e-09	1.45088891038495e-11	8.4319920917941e-09	2.96772731669654e-11
1	C. inopinata Dauer	C. elegans L1	40	2.06115362243856e-09	1.45088891038495e-11	8.4319920917941e-09	2.96772731669654e-11
1	C. inopinata Dauer	C. elegans L2	6.82666666666667	0.00898067124189882	0.00791169367365137	0.0101032551471362	0.00890065538285779
1	C. inopinata Dauer	C. elegans L3	10.5806451612903	0.00504013414770389	0.00327600327600324	0.00589106588692662	0.00378000378000374
1	C. inopinata Dauer	C. elegans L4	40	2.06115362243856e-09	1.45088891038495e-11	8.4319920917941e-09	2.96772731669654e-11
1	C. inopinata Dauer	C. elegans Adult	40	4.32842260712098e-08	2.90177782076991e-11	7.63839283609584e-08	5.67739138846287e-11
1	C. inopinata Dauer	C. inopinata L4	40	1.06550903342559e-08	1.45088891038495e-11	2.58460042416897e-08	2.96772731669654e-11
1	C. inopinata Dauer	C. briggsae Dauer	14.4047619047619	0.000147429028844105	4.50951507681206e-05	0.000184286286055131	5.63689384601508e-05
1	C. inopinata Dauer	C. tropicalis Dauer	11.3828571428571	0.00337476842634313	0.00219964124302277	0.0039964362943537	0.00260483831410591
1	C. elegans Dauer	C. inopinata L2	7.06206896551724	0.0292746161118228	0.0362209717048424	0.0325273512353586	0.0402455241164915
1	C. elegans Dauer	C. inopinata L3	36.2222222222222	6.72048401751813e-08	3.04686671180842e-10	1.16316069533968e-07	5.07811118634738e-10
1	C. elegans Dauer	C. inopinata Adult	40	1.06550903342559e-08	1.45088891038495e-11	2.58460042416897e-08	2.96772731669654e-11
1	C. elegans Dauer	C. inopinata L1	26.1892583120205	3.09539590257189e-07	2.56952426029178e-08	4.72179035985542e-07	3.7299545713913e-08
