column_label	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
1	length	C. briggsae Dauer	C. elegans Adult	20	20	0	6.78e-08	1.1e-07	****
1	length	C. briggsae Dauer	C. elegans Dauer	20	20	238	0.31	0.332	ns
1	length	C. briggsae Dauer	C. elegans L1	20	20	400	6.73e-08	1.1e-07	****
1	length	C. briggsae Dauer	C. elegans L2	20	20	350.5	4.93e-05	6.15e-05	****
1	length	C. briggsae Dauer	C. elegans L3	20	20	72	0.000561	0.000654	***
1	length	C. briggsae Dauer	C. elegans L4	20	20	0	6.77e-08	1.1e-07	****
1	length	C. briggsae Dauer	C. inopinata Adult	20	20	0	6.78e-08	1.1e-07	****
1	length	C. briggsae Dauer	C. inopinata Dauer	20	20	256.5	0.13	0.143	ns
1	length	C. briggsae Dauer	C. inopinata L1	20	20	400	6.73e-08	1.1e-07	****
1	length	C. briggsae Dauer	C. inopinata L2	20	20	237.5	0.317	0.335	ns
1	length	C. briggsae Dauer	C. inopinata L3	20	20	2.5	9.83e-08	1.49e-07	****
1	length	C. briggsae Dauer	C. inopinata L4	20	20	0	6.78e-08	1.1e-07	****
1	length	C. briggsae Dauer	C. tropicalis Dauer	20	20	63	0.000222	0.000266	***
1	length	C. elegans Adult	C. elegans Dauer	20	20	400	6.78e-08	1.1e-07	****
1	length	C. elegans Adult	C. elegans L1	20	20	400	6.75e-08	1.1e-07	****
1	length	C. elegans Adult	C. elegans L2	20	20	400	6.79e-08	1.1e-07	****
1	length	C. elegans Adult	C. elegans L3	20	20	400	6.79e-08	1.1e-07	****
1	length	C. elegans Adult	C. elegans L4	20	20	394	1.65e-07	2.35e-07	****
1	length	C. elegans Adult	C. inopinata Adult	20	20	0	1.45e-11	1.65e-10	****
1	length	C. elegans Adult	C. inopinata Dauer	20	20	400	1.45e-11	1.65e-10	****
1	length	C. elegans Adult	C. inopinata L1	20	20	400	6.75e-08	1.1e-07	****
1	length	C. elegans Adult	C. inopinata L2	20	20	400	6.78e-08	1.1e-07	****
1	length	C. elegans Adult	C. inopinata L3	20	20	393	1.92e-07	2.69e-07	****
1	length	C. elegans Adult	C. inopinata L4	20	20	172	0.457	0.478	ns
1	length	C. elegans Adult	C. tropicalis Dauer	20	20	400	1.45e-11	1.65e-10	****
1	length	C. elegans Dauer	C. elegans L1	20	20	400	6.73e-08	1.1e-07	****
1	length	C. elegans Dauer	C. elegans L2	20	20	308	0.004	0.004	**
1	length	C. elegans Dauer	C. elegans L3	20	20	62	0.000199	0.000241	***
1	length	C. elegans Dauer	C. elegans L4	20	20	0	6.77e-08	1.1e-07	****
1	length	C. elegans Dauer	C. inopinata Adult	20	20	0	6.78e-08	1.1e-07	****
1	length	C. elegans Dauer	C. inopinata Dauer	20	20	218	0.636	0.658	ns
1	length	C. elegans Dauer	C. inopinata L1	20	20	400	6.73e-08	1.1e-07	****
1	length	C. elegans Dauer	C. inopinata L2	20	20	208.5	0.829	0.848	ns
1	length	C. elegans Dauer	C. inopinata L3	20	20	6	1.65e-07	2.35e-07	****
1	length	C. elegans Dauer	C. inopinata L4	20	20	0	6.78e-08	1.1e-07	****
1	length	C. elegans Dauer	C. tropicalis Dauer	20	20	67.5	0.000355	0.00042	***
1	length	C. elegans L1	C. elegans L2	20	20	0	6.74e-08	1.1e-07	****
1	length	C. elegans L1	C. elegans L3	20	20	0	6.74e-08	1.1e-07	****
1	length	C. elegans L1	C. elegans L4	20	20	0	6.74e-08	1.1e-07	****
1	length	C. elegans L1	C. inopinata Adult	20	20	0	6.75e-08	1.1e-07	****
1	length	C. elegans L1	C. inopinata Dauer	20	20	0	6.75e-08	1.1e-07	****
1	length	C. elegans L1	C. inopinata L1	20	20	4.5	1.31e-07	1.92e-07	****
1	length	C. elegans L1	C. inopinata L2	20	20	0	6.73e-08	1.1e-07	****
1	length	C. elegans L1	C. inopinata L3	20	20	0	6.74e-08	1.1e-07	****
1	length	C. elegans L1	C. inopinata L4	20	20	0	6.75e-08	1.1e-07	****
1	length	C. elegans L1	C. tropicalis Dauer	20	20	0	6.75e-08	1.1e-07	****
1	length	C. elegans L2	C. elegans L3	20	20	11	3.41e-07	4.63e-07	****
1	length	C. elegans L2	C. elegans L4	20	20	0	6.78e-08	1.1e-07	****
1	length	C. elegans L2	C. inopinata Adult	20	20	0	6.79e-08	1.1e-07	****
1	length	C. elegans L2	C. inopinata Dauer	20	20	92	0.004	0.004	**
1	length	C. elegans L2	C. inopinata L1	20	20	399	7.83e-08	1.22e-07	****
1	length	C. elegans L2	C. inopinata L2	20	20	129	0.056	0.063	ns
1	length	C. elegans L2	C. inopinata L3	20	20	0	6.78e-08	1.1e-07	****
