column_label	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
1	width	C. briggsae Dauer	C. elegans Adult	20	20	0	6.53e-08	1.32e-07	****
1	width	C. briggsae Dauer	C. elegans Dauer	20	20	136.5	0.086	0.093	ns
1	width	C. briggsae Dauer	C. elegans L1	20	20	213	0.733	0.733	ns
1	width	C. briggsae Dauer	C. elegans L2	20	20	2	8.41e-08	1.47e-07	****
1	width	C. briggsae Dauer	C. elegans L3	20	20	0	6.11e-08	1.32e-07	****
1	width	C. briggsae Dauer	C. elegans L4	20	20	0	6.5e-08	1.32e-07	****
1	width	C. briggsae Dauer	C. inopinata Adult	20	20	0	6.54e-08	1.32e-07	****
1	width	C. briggsae Dauer	C. inopinata Dauer	20	20	0	6.41e-08	1.32e-07	****
1	width	C. briggsae Dauer	C. inopinata L1	20	20	159	0.268	0.277	ns
1	width	C. briggsae Dauer	C. inopinata L2	20	20	31	4.64e-06	6.3e-06	****
1	width	C. briggsae Dauer	C. inopinata L3	20	20	0	6.52e-08	1.32e-07	****
1	width	C. briggsae Dauer	C. inopinata L4	20	20	0	6.29e-08	1.32e-07	****
1	width	C. briggsae Dauer	C. tropicalis Dauer	20	20	100	0.007	0.008	**
1	width	C. elegans Adult	C. elegans Dauer	20	20	400	6.56e-08	1.32e-07	****
1	width	C. elegans Adult	C. elegans L1	20	20	400	6.13e-08	1.32e-07	****
1	width	C. elegans Adult	C. elegans L2	20	20	400	6.48e-08	1.32e-07	****
1	width	C. elegans Adult	C. elegans L3	20	20	400	6.29e-08	1.32e-07	****
1	width	C. elegans Adult	C. elegans L4	20	20	377	1.77e-06	2.6e-06	****
1	width	C. elegans Adult	C. inopinata Adult	20	20	177	0.542	0.548	ns
1	width	C. elegans Adult	C. inopinata Dauer	20	20	400	6.6e-08	1.32e-07	****
1	width	C. elegans Adult	C. inopinata L1	20	20	400	6.17e-08	1.32e-07	****
1	width	C. elegans Adult	C. inopinata L2	20	20	400	6.61e-08	1.32e-07	****
1	width	C. elegans Adult	C. inopinata L3	20	20	398.5	8.39e-08	1.47e-07	****
1	width	C. elegans Adult	C. inopinata L4	20	20	368	5.62e-06	7.41e-06	****
1	width	C. elegans Adult	C. tropicalis Dauer	20	20	400	6.64e-08	1.32e-07	****
1	width	C. elegans Dauer	C. elegans L1	20	20	287.5	0.017	0.02	*
1	width	C. elegans Dauer	C. elegans L2	20	20	11	3.13e-07	5e-07	****
1	width	C. elegans Dauer	C. elegans L3	20	20	0	6.14e-08	1.32e-07	****
1	width	C. elegans Dauer	C. elegans L4	20	20	0	6.53e-08	1.32e-07	****
1	width	C. elegans Dauer	C. inopinata Adult	20	20	0	6.57e-08	1.32e-07	****
1	width	C. elegans Dauer	C. inopinata Dauer	20	20	6	1.56e-07	2.58e-07	****
1	width	C. elegans Dauer	C. inopinata L1	20	20	233	0.373	0.381	ns
1	width	C. elegans Dauer	C. inopinata L2	20	20	59.5	0.000141	0.000178	***
